,wins
2133,62
2134,70
2135,71
2136,76
2137,65
2138,86
2139,70
2140,63
2141,54
2142,57
2143,84
2144,79
2145,76
2146,94
2147,87
2148,83
2149,76
2150,64
2151,77
2152,69
2153,62
2154,87
2155,75
2156,70
2157,83
2158,83
2159,85
2160,77
2161,86
2162,90
2163,77
2164,88
2165,95
2166,71
2167,73
2168,72
2169,71
2170,89
2171,79
2172,80
2173,75
2174,79
2175,87
2176,90
2177,96
2178,93
2179,91
2180,67
2181,88
2182,95
2183,54
2184,59
2185,53
2186,67
2187,78
2188,89
2189,89
2190,99
2191,86
2192,96
2193,87
2194,89
2195,86
2196,91
2197,96
2198,95
2199,74
2200,76
2201,88
2202,84
2203,83
2204,80
2205,78
2206,86
2207,67
2208,80
2209,87
2210,83
2211,86
2212,75
2213,85
2214,81
2215,73
2216,74
2217,83
2218,93
2219,89
2220,52
2221,73
2222,71
2223,70
2224,79
2225,79
2226,75
2227,55
2228,75
2229,76
2230,95
2231,90
2232,86
2233,82
2234,78
2235,84
2236,78
2237,91
2238,81
2239,81
2240,85
2241,71
2242,87
2243,94
2244,88
2245,78
2246,65
2247,68
2248,67
2249,68
2250,83
2251,83
2252,67
2253,81
2254,71
2255,73
2256,59
2257,59
2258,69
2259,80
2260,98
2261,86
2262,96
2263,83
2264,95
